Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
03;28;234;Vorschriften & Gesetze;Wo findet man Angaben über Küsten-, Häfen- und Naturverhältnisse?;;In der Seekarte INTInternational Hydrographic Organisation für die Gestaltung von Seekarten1.;In den See- und Hafenhandbüchern.;In den Bekanntmachungen und Nachrichten für Seefahrer.;Im Nautischen Revierfunkdienst.;B;In den See- und Hafenhandbüchern.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/03
03;29;272;Sicherheit;Wozu dient primär das Automatische Identifikationssystem (AIS)?;;Dem Empfang von Wetterdaten.;Der Positionsbestimmung.;Dem Senden nautischer Warnnachrichten.;Der Kollisionsverhütung.;D;Der Kollisionsverhütung.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/03
03;30;282;Signale;Was bedeutet das folgende durch Licht oder Schallsignal gegebene Morsesignal?;;Seenotsignal.;Nebelsignal.;Überholsignal.;Bleib-weg-Signal.;A;Seenotsignal.;bilder/spezifische_fragen_see_Notsignal-Frage-279-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Notsignal-Frage-279-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/03
04;1;5;Signale;Wie lang ist die Dauer eines langen Tons (—)?;;Etwa 4 - 6 Sekunden.;Etwa 2 - 6 Sekunden.;Etwa 1 - 2 Sekunden.;Etwa 6 - 8 Sekunden.;A;Etwa 4 - 6 Sekunden.;bilder/basisfragen_Schallsignal-728-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Schallsignal-728-gif.png;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;2;21;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Dauernde Sperrung einer Teilstrecke der Wasserstraße.;Weiterfahrt für Sportfahrzeuge verboten.;Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen.;Gebot zur Abgabe eines langen Signaltons.;C;Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen.;bilder/basisfragen_Gebotszeichen-B05-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Gebotszeichen-B05-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;3;32;Umwelt- & Naturschutz;Wie kann mitgeholfen werden, die Lebensmöglichkeiten der Pflanzen- und Tierwelt in Gewässern und Feuchtgebieten zu bewahren und zu fördern?;;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn Grundregeln für den Wassersport"".";Durch umsichtiges Verhalten und Beachtung der Verkehrsvorschriften.;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn goldenen Regeln für das Verhalten von Wassersportlern in der Natur"".";Durch vorausschauendes Fahren und Ausweichen entsprechend der Verkehrsvorschriften.;C;"Durch umweltbewusstes Verhalten und Beachtung der ""Zehn goldenen Regeln für das Verhalten von Wassersportlern in der Natur"".";;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;4;38;Sicherheit;Wo finden Sie Informationen über umweltfreundliche Farben, Lacke und Antifouling-Beschichtungen für Ihr Boot?;;In der Sportbootvermietungsverordnung.;In der Sportbootführerscheinverordnung.;Beim Bundesministerium für Digitales und Verkehr.;Beim Umweltbundesamt.;D;Beim Umweltbundesamt.;;;"Basisfragen;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;5;54;Grundlagen;Die Ladekontrolllampe erlischt nach dem Starten nicht. Was könnte die mögliche Ursache sein?;;Zu hohe Motordrehzahl.;Keilriemen gerissen und hoher Stromverbrauch.;Lichtmaschine bzw. Regler der Lichtmaschine defekt.;Anlasser ist nach dem Starten ausgefallen.;C;Lichtmaschine bzw. Regler der Lichtmaschine defekt.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;6;59;Grundlagen;Unter welchen Voraussetzungen darf ein Sportboot mit Elektromotor ohne Fahrerlaubnis geführt werden?;;Es darf immer ohne Fahrerlaubnis geführt werden, unabhängig von der Antriebsleistung.;Es darf nie ohne Fahrerlaubnis geführt werden, unabhängig von der Antriebsleistung.;Die Antriebsleistung beträgt höchstens 7,5 Kilowatt Betriebsart S1 (Dauerbetrieb).;Bis zu einer Antriebsleistung von 11,03 Kilowatt Betriebsart S1 (Dauerbetrieb).;C;Die Antriebsleistung beträgt höchstens 7,5 Kilowatt Betriebsart S1 (Dauerbetrieb).;;;"Basisfragen;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;7;68;Sicherheit;Welcher Feuerlöscher ist für Sportboote zweckmäßig und wie oft muss man einen Feuerlöscher überprüfen lassen?;;Feuerlöscher mit Löschschaum, mindestens einmal pro Jahr.;ABC-Pulverlöscher, mindestens einmal pro Jahr.;ABC-Pulver- und Schaumlöscher, mindestens alle 2 Jahre.;CO2-Feuerlöscher, mindestens alle 2 Jahre.;C;ABC-Pulver- und Schaumlöscher, mindestens alle 2 Jahre.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;8;76;Vorschriften & Gesetze;Wer ist für die Befolgung der Verkehrsvorschriften verantwortlich?;;Der Fahrzeugführer und sein Stellvertreter.;Der Fahrzeugführer oder jeder sonst Verantwortliche.;Der Fahrzeugführer oder sein Stellvertreter.;Der Fahrzeugführer und jeder sonst Verantwortliche.;C;Der Fahrzeugführer oder sein Stellvertreter.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;9;91;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Lichter?;;Ein manövrierunfähiges Fahrzeug in Fahrt.;Maschinenfahrzeug in Fahrt von 50 und mehr Meter Länge.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser von 50 und mehr Meter Länge.;Maschinenfahrzeug in Fahrt von weniger als 50 m Länge.;D;Maschinenfahrzeug in Fahrt von weniger als 50 m Länge.;bilder/spezifische_fragen_see_Lichter-Frage-91-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-91-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;10;100;Lichterführung & Signalkörper;Welche Lichter führen manövrierunfähige Fahrzeuge von 12 und mehr Meter Länge in Fahrt, ohne Fahrt durch das Wasser?;;Drei rote Rundumlichter senkrecht übereinander.;Zwei rote Rundumlichter senkrecht übereinander und zusätzlich die Seitenlichter und das Hecklicht.;Drei rote Rundumlichter senkrecht übereinander und zusätzlich die Seitenlichter und das Hecklicht.;Zwei rote Rundumlichter senkrecht übereinander.;D;Zwei rote Rundumlichter senkrecht übereinander.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;11;105;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Lichter?;;Ein manövrierunfähiges Fahrzeug in Fahrt.;Ein Grundsitzer von weniger als 50 m Länge.;Ein Grundsitzer von 50 m und mehr Meter Länge.;Ein manövrierbehindertes Fahrzeug.;B;Ein Grundsitzer von weniger als 50 m Länge.;bilder/spezifische_fragen_see_Lichter-Frage-105-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-105-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;12;130;Verkehrsvorschriften;Wie hat sich ein Maschinenfahrzeug im freien Seeraum oder außerhalb des Fahrwassers gegenüber einem in Sicht befindlichen manövrierbehinderten Fahrzeug zu verhalten, wenn die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Das Maschinenfahrzeug muss seine Fahrt verringern.;Das Maschinenfahrzeug muss seinen Kurs nach Steuerbord ändern.;Das Maschinenfahrzeug muss ausweichen.;Das Maschinenfahrzeug muss Kurs und Geschwindigkeit beibehalten.;C;Das Maschinenfahrzeug muss ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;13;153;Vorschriften & Gesetze;Welche örtlichen Sondervorschriften zusätzlich zur Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und zur Schifffahrtsordnung Emsmündung (EmsSchO) gibt es und was ist darin geregelt?;;Die Nachrichten für Seefahrer (NfS), herausgegeben vom Bundesamt für Seeschifffahrt und Hydrographie, sowie die Bekanntmachungen für Seefahrer (BfS) der örtlich zuständigen Wasserstraßen- und Schifffahrtsämter, die auf alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks und Untiefen sowie auf die Schifffahrt betreffende Maßnahmen und Ereignisse hinweisen.;Das Seesicherheitsuntersuchungsgesetz sowie die Verordnung über die Sicherung der Seefahrt, die jeweils wichtige Vorschriften über das Verhalten nach einem Zusammenstoß auf den jeweiligen Seeschifffahrtsstraßen enthalten.;Die Bekanntmachungen der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS), die besondere örtliche Regelungen enthalten und Hinweise für die einzelnen Seeschifffahrtsstraßen geben.;"Die Bekanntmachung der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS) sowie die nautische Veröffentlichung ""Sicherheit auf dem Wasser"", herausgegeben durch das Bundesministerium für Digitales und Verkehr (BMDV), mit wichtigen Regeln und Tipps für Wassersportler.";C;Die Bekanntmachungen der Generaldirektion Wasserstraßen- und Schifffahrt (GDWS), die besondere örtliche Regelungen enthalten und Hinweise für die einzelnen Seeschifffahrtsstraßen geben.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;14;163;Signale;"Wie lautet das ""allgemeine Gefahr- und Warnsignal""?";;Zwei Gruppen von je vier kurzen Tönen.;Zwei Gruppen von je drei langen Tönen.;Zwei Gruppen von je einem langen und vier kurzen Tönen.;Zwei Gruppen von je einem kurzen und vier langen Tönen.;C;Zwei Gruppen von je einem langen und vier kurzen Tönen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;15;165;Verkehrsvorschriften;Wie haben sich Fahrzeuge zu verhalten, die in ein Fahrwasser einlaufen, ein Fahrwasser queren, im Fahrwasser drehen oder ihre Anker- und Liegeplätze verlassen?;;Sie haben die Vorfahrt vor den Fahrzeugen im Fahrwasser.;Sie haben ihr Manöver so durchzuführen, dass andere Fahrzeuge nicht behindert werden.;Sie haben einen kurzen Ton als Achtungssignal abzugeben.;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;D;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;16;166;Verkehrsvorschriften;Wie haben Segelfahrzeuge im Fahrwasser, die nicht deutlich der Richtung eines Fahrwassers folgen, untereinander auszuweichen?;;Sie haben untereinander nach den Regeln der Binnenschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Schifffahrtsordnung Emsmündung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Seeschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;C;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;17;168;Vorschriften & Gesetze;Wo ist das Überholen verboten?;;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt und außerhalb des Fahrwassers.;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt, und in Verkehrstrennungsgebieten.;An Engstellen, unübersichtlichen Krümmungen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken und in Nationalparks und besonders ausgewiesenen Naturschutzgebieten.;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt.;D;An Engstellen, unübersichtlichen Krümmungen, in Schleusenbereichen, innerhalb durch Überholverbotszeichen gekennzeichneter Strecken, in der Nähe nicht frei fahrender Fähren in Fahrt.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;18;177;Schifffahrtszeichen;Welche Bedeutung haben folgende Sichtzeichen?;;Dauernde Sperrung der Seeschifffahrtsstraße.;Außergewöhnliche Schifffahrtsbehinderung.;Schutzbedürftige Anlage.;Dauernde Sperrung einer Teilstrecke der Seeschifffahrtsstraße.;C;Schutzbedürftige Anlage.;"bilder/spezifische_fragen_see_Gebotszeichen-A04b-gif.png;bilder/spezifische_fragen_see_Gebotszeichen-A04c-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A04b-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A04c-gif.png";"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;19;178;Signale;Welche Bedeutung hat folgendes Schallsignal und was ist zu beachten:;;"Brücke, Sperrwerk, Schleuse wird zur Öffnung vorbereitet; Fahrt fortsetzen.";"Bleib-weg-Signal, Gefahr durch gefährliche Ladung; sofort den Gefahrenbereich verlassen. Offenes Feuer vermeiden (Explosionsgefahr).";"Brücke, Sperrwerk, Schleuse kann vorübergehend nicht geöffnet werden; Fahrt unterbrechen, Freigabe abwarten.";"Ein Ausweichpflichtiger wird vom Vorfahrtberechtigten auf seine Ausweichpflicht hingewiesen; sofort Ausweichmanöver einleiten.";C;"Brücke, Sperrwerk, Schleuse kann vorübergehend nicht geöffnet werden; Fahrt unterbrechen, Freigabe abwarten.";bilder/spezifische_fragen_see_Schallsignal-Frage-178-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-178-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;20;188;Signale;Welche Bedeutung hat folgendes Schallsignal?;;Ein Ankerlieger bei schlechter Sicht, vorsichtig weiter navigieren.;Sperrung der Seeschifffahrtsstraße, Weiterfahrt verboten.;Fahrzeug des öffentlichen Dienstes, anhalten.;Einfahrt in Schleuse oder Anlage gesperrt, auf Freigabe warten.;B;Sperrung der Seeschifffahrtsstraße, Weiterfahrt verboten.;bilder/spezifische_fragen_see_Schallsignal-Frage-188-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-188-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;21;198;Schifffahrtszeichen;Welche Kennung und Farbe haben die Feuer der Leuchttonnen an der Steuerbordseite des Fahrwassers?;;Grünes Blitzfeuer, Funkelfeuer oder Festfeuer.;Grünes Blitzfeuer, Funkelfeuer oder schnelles Funkelfeuer.;Grünes Blitzfeuer, Funkelfeuer oder Blinkfeuer.;Grünes Blitzfeuer, Funkelfeuer oder unterbrochenes Feuer in Gruppen.;D;Grünes Blitzfeuer, Funkelfeuer oder unterbrochenes Feuer in Gruppen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;22;203;Schifffahrtszeichen;Welche Bedeutung hat folgendes Schifffahrtszeichen?;;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Nordquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Ostquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;A;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant.;bilder/spezifische_fragen_see_Warnzeichen-B15d-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Warnzeichen-B15d-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;23;214;Schifffahrtszeichen;Wie navigiert man mittels eines Quermarkenfeuers?;;Beim Erreichen des Ankündigungssektors die Kursänderung vornehmen.;Beim Übergang vom Ankündigungssektor in den Kursänderungssektor die Kursänderung vornehmen.;Beim Erreichen des Ankündigungssektors Ober- und Unterfeuer in Deckung halten.;Beim Erreichen des Kursänderungssektors den Kurs beibehalten.;B;Beim Übergang vom Ankündigungssektor in den Kursänderungssektor die Kursänderung vornehmen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;24;223;Schifffahrtszeichen;Was versteht man unter einem Gleichtaktfeuer?;;Lichterscheinung zweifach länger als Verdunkelung.;Lichterscheinung und Verdunkelung von gleicher Länge.;Lichterscheinung länger als Verdunkelung.;Lichterscheinung kürzer als Verdunkelung.;B;Lichterscheinung und Verdunkelung von gleicher Länge.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;25;246;Navigation;Was versteht man unter Windversetzung?;;Die Versetzung des Schiffes über Grund in Richtung und Distanz.;Die Versetzung des Schiffes vom Magnetkompasskurs.;Die Richtung und Stärke des Windes und der Windsee.;Die Versetzung des Schiffes durch das Wasser in Richtung und Distanz.;A;Die Versetzung des Schiffes über Grund in Richtung und Distanz.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;26;255;Wetter;Wo sind für einen bestimmten Ort die Angaben über Hoch- und Niedrigwasserzeiten und den Tidenhub zu finden?;;Im Gezeitenatlas des Bundesamtes für Seeschifffahrt und Hydrographie.;Im Mondphasenkalender der Bundesanstalt für Gewässerkunde.;In der Flutvorhersage des Bundesamtes für Seeschifffahrt und Hydrographie.;In den Gezeitentafeln oder dem Gezeitenkalender des Bundesamtes für Seeschifffahrt und Hydrographie.;D;In den Gezeitentafeln oder dem Gezeitenkalender des Bundesamtes für Seeschifffahrt und Hydrographie.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;27;270;Wetter;"Was ist in amtlichen Wetterberichten unter ""schwerem Sturm"", ""orkanartigem Sturm"" und ""Orkan"" zu verstehen?";;Windstärken 10, 11 und 12 der Beaufortskala.;Windstärken 11, 12 und 13 der Beaufortskala.;Windstärken 9, 10 und 11 der Beaufortskala.;Windstärken 8, 9 und 10 der Beaufortskala.;A;Windstärken 10, 11 und 12 der Beaufortskala.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;28;273;Sicherheit;Welche Informationen können über das Automatische Identifikationssystem (AIS) ausgetauscht werden?;;Schiffsdaten (statisch), reisebezogene Daten.;Schiffsdaten (statisch und dynamisch), reisebezogene Daten.;Schiffsdaten (statisch und dynamisch), Wetterdaten.;Schiffsdaten (dynamisch), Wetterdaten.;B;Schiffsdaten (statisch und dynamisch), reisebezogene Daten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;29;278;Sicherheit;Wie verhindert man das Überbordfallen von Personen bei starkem Seegang?;;Sicherheitsleinen bzw. -gurte spannen, Sicherheitsgurt anlegen und an den dafür vorgesehenen Stellen einpicken.;Besatzung in der Plicht versammeln, Rettungswesten anlegen, Sicherheitsleinen bzw. -gurte spannen.;Sicherheitsleinen bzw. -gurte spannen, Besatzung an Deck sammeln. Rettungswesten anlegen.;Sicherheitsleinen bzw. -gurte aufschießen, Sicherheitsgurt anlegen und in die Reling einpicken.;A;Sicherheitsleinen bzw. -gurte spannen, Sicherheitsgurt anlegen und an den dafür vorgesehenen Stellen einpicken.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
04;30;284;Signale;Was bedeutet folgendes Flaggensignal?;;Fahrzeug in Seenot.;Fahrzeug verlässt Liegeplatz.;Fahrzeug des öffentlichen Dienstes.;Fahrzeug mit gefährlichen Gütern.;A;Fahrzeug in Seenot.;bilder/spezifische_fragen_see_Flaggensignal-Frage-284-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Flaggensignal-Frage-284-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/04
05;1;4;Signale;Wie lang ist die Dauer eines kurzen Tons (•)?;;Etwa 1 Sekunde.;Etwa 2 Sekunden.;Weniger als 4 Sekunden.;Weniger als 1 Sekunde.;A;Etwa 1 Sekunde.;bilder/basisfragen_Schallsignal-723-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Schallsignal-723-gif.png;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;2;23;Schifffahrtszeichen;Welche Bedeutung haben folgende Tafelzeichen?;;Festmache- und Liegeverbot für Sportboote.;Festmache- und Liegeverbot für Sportboote über 12 m Länge.;Festmache- und Liegeverbot.;Festmache- und Liegeverbot für gewerbliche Schiffe.;C;Festmache- und Liegeverbot.;"bilder/basisfragen_Verbotszeichen-A07-gif.png;bilder/basisfragen_Verbotszeichen-A05-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A07-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A05-gif.png";"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;3;31;Umwelt- & Naturschutz;Welches Merkblatt enthält Hinweise für das Verhalten zum Schutz seltener Tiere und Pflanzen sowie zur Reinhaltung der Gewässer?;;Die 10 goldenen Regeln für Wassersportler.;Die 15 goldenen Regeln für Wassersportler.;Die 10 Grundregeln für Wassersportler.;Die 15 Verhaltensregeln für Wassersportler.;A;Die 10 goldenen Regeln für Wassersportler.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;4;44;Grundlagen;Was ist unter einem rechtsdrehenden Propeller zu verstehen?;;Von vorne gesehen in Rückwärtsfahrt Drehung des Propellers gegen den Uhrzeigersinn.;Von achtern gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;Von vorne gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;Von achtern gesehen in Vorausfahrt Drehung des Propellers gegen den Uhrzeigersinn.;B;Von achtern gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;5;58;Grundlagen;Welche Veröffentlichungen enthalten wichtige Regeln und Tipps für Wassersportler, Empfehlungen zur Ausrüstung von Sportbooten sowie Hinweise zu umweltgerechtem Verhalten auf dem Wasser?;;Nautische Publikation wie „Sicherheit auf dem Wasser“ und Internationales Signalbuch.;Nautische Publikationen wie „Sicherheit auf dem Wasser“ und „Sicher auf See“.;Verordnung über die Sicherung der Seefahrt und nautische Publikationen wie „Sicher auf See“.;Internationales Signalbuch und Verordnung über die Sicherung der Seefahrt.;B;Nautische Publikationen wie „Sicherheit auf dem Wasser“ und „Sicher auf See“.;;;"Basisfragen;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;6;65;Sicherheit;Was ist vor Inbetriebnahme einer Flüssiggasanlage zu prüfen?;;Die Abnahme der Anlage darf nicht länger als drei Jahre zurückliegen. Haupthahn und andere Absperrventile sind zu öffnen.;Die Anlage muss abgenommen sein, die Inbetriebnahme darf nur durch eine besonders geprüfte Person erfolgen.;Die Anlage muss abgenommen sein, Leitungen und Anschlüsse müssen dicht sein. Haupthahn und andere Absperrventile sind zu öffnen.;Die Anlage muss abgenommen sein und jährlich überprüft werden. Die Inbetriebnahme darf nur durch eine besonders geprüfte Person erfolgen.;C;Die Anlage muss abgenommen sein, Leitungen und Anschlüsse müssen dicht sein. Haupthahn und andere Absperrventile sind zu öffnen.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
05;7;72;Vorschriften & Gesetze;In welcher Situation dürfen Notsignale gegeben werden?;;Wenn Gefahr für Leib oder Leben von Personen oder erhebliche Sachwerte besteht und daher Hilfe benötigt wird.;Wenn Gefahr für Leib oder Leben von Personen besteht und daher Hilfe benötigt wird.;Wenn Gefahr für Leib oder Leben von Personen besteht oder das Schiff nicht mehr sicher manövriert werden kann.;Wenn Gefahr für Leib oder Leben von Personen, erhebliche Sachwerte oder die maritime Umwelt besteht.;B;Wenn Gefahr für Leib oder Leben von Personen besteht und daher Hilfe benötigt wird.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/05
