Aufgabe-ID;Navigationsaufgabe;Teilaufgabe;Szenario;Aufgabenstellung;Amtliches Ergebnis;Hinweis;Stand;Quelle
NAV-05-05;5;5;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;Wie lautet der rwK?;rwK = 061°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-06;5;6;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;Die Ablenkung beträgt-2°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 063°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-07;5;7;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;"Das Motorboot macht 11 kn Fahrt über Grund. Zu welcher Uhrzeit wird die Tonne ""1b/Jade1"" voraussichtlich erreicht?";14:30 Uhr;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-08;5;8;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;"Beschreiben Sie Farbe, Kennung und Toppzeichen der Tonne ""1b/Jade1"".";Farbe: grün Kennung: grünes unterbrochenes Feuer mit 4 Sekunden Wiederkehr Toppzeichen: keines;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-09;5;9;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;Das Motorboot macht weiterhin 11 kn Fahrt über Grund, als um 14:06 Uhr ein Maschinenschaden eintritt. Auf welcher Position befindet sich das Schiff zu diesem Zeitpunkt nach Koppelort?;53° 50,2' N 007° 37,4' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-06-01;6;1;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";Entnehmen Sie der Seekarte die geographische Position des Motorbootes.;53° 55,3' N 007° 58,8' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-02;6;2;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";"Von der Tonne ""A2"" aus setzt das Boot seinen Kurs auf die Tonne ""Westertill-N"" ab. Tragen Sie den Kurs in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-03;6;3;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";Wie lautet der rwK?;rwK = 059°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-04;6;4;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";Die Ablenkung beträgt-2°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 060°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-05;6;5;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";"Nach einiger Zeit wird die Tonne ""NGN"" an Backbordseite passiert. Beschreiben Sie Farbe, Kennung und Toppzeichen des Schifffahrtszeichens.";"Farbe: oben schwarz und unten gelb Kennung: weißes schnelles Funkelfeuer Toppzeichen: zwei Kegel-beide ""Spitze oben"" - senkrecht übereinander";;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-06;6;6;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";"Im weiteren Fahrtverlauf werden mit dem Peilaufsatz am Magnetkompass die folgenden Objekte gepeilt. Die Ablenkung für den anliegenden Kurs beträgt-2°, die Mw ist der Seekarte zu entnehmen. Leuchtturm ""Alte Weser"" MgP = 160° Tonne ""Westertill-N"" MgP = 056° Wie lauten die rw-Peilungen?";Leuchtturm rwP = 159° Tonne rwP = 055°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-07;6;7;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-08;6;8;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";"Um 09:54 Uhr wird die Tonne ""Westertill-N"" passiert. Wie groß ist die Geschwindigkeit seit 09:00 Uhr?";FüG = 6 kn;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-06-09;6;9;"Ein aus der Alten Weser auslaufendes Motorboot befindet sich am 30.06.2012 auf dem Weg in die Elbe und steht um 09:00 Uhr nahebei der Tonne ""A2"".";"Unmittelbar südlich der Tonne ""Westertill-N"" befindet sich eine Eintragung. Was bedeutet diese Eintragung in der Seekarte?";Kartentiefe 24 m;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-06/Navigationsaufgabe-06-node.html
NAV-07-01;7;1;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";Entnehmen Sie der Seekarte die geographische Position des Motorbootes um 11:00 Uhr.;54° 03,5' N 008° 06,9' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-02;7;2;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";"Beschreiben Sie Farbe, Kennung und Toppzeichen der Tonne ""Außenelbe-Reede 2"".";Farbe: gelb Kennung: gelbes unterbrochenes Feuer mit 3 Gruppen und der Wiederkehr 12 Sekunden Toppzeichen: keines;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-03;7;3;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";Von der angegebenen Position aus wird am Magnetkompasskurs ein Kurs von 218° gesteuert. Die Ablenkung beträgt-3°, die Mw ist der Seekarte zu entnehmen. Wie lautet der rwK?;rwK = 216°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-04;7;4;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";Tragen Sie den rechtweisenden Kurs in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-05;7;5;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";"Wann erreichen Sie die Tonne ""NGN""?";11:57 Uhr;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-06;7;6;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";"Welche Bedeutung hat die Tonne ""NGN""?";Nord-Kardinal-Zeichen Zeigt an, dass die Gefahrenstelle nördlich der Tonne sicher umfahren werden kann.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-07;7;7;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";"Um 12:00 Uhr werden mit dem Hand-Peilkompass folgende Tonnen gepeilt: Tonne ""ST"" MgP = 240° Tonne ""A2"" MgP = 150° Die Ablenkung beträgt 0°, die Mw ist aus der Seekarte zu entnehmen. Wie lauten die rw-Peilungen?";"Tonne ""ST"" rwP = 241° Tonne ""A2"" rwP = 151°";;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-08;7;8;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-07-09;7;9;"Ein aus der Elbe auslaufendes Motorboot steht am 22.10.2010 um 11:00 Uhr nahebei der Tonne ""Außenelbe-Reede 2"". Die Fahrt über Grund beträgt 8 kn.";Wie lautet die Besteckversetzung?;BV = 273° -1,1 sm;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-07/Navigationsaufgabe-07-node.html
NAV-08-01;8;1;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;"Durch Peilung und Abstandsmessung wird eine Standortbestimmung durchgeführt. Die Tonne ""E2"" wird gepeilt: rwP = 084°, Distanz 1,6 sm. Tragen Sie die rw-Peilung in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-02;8;2;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Entnehmen Sie der Seekarte die geographische Position.;54° 07,0' N 007° 41,0' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-03;8;3;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;An dem ermittelten Ort befindet sich ein Eintrag. Was bedeutet diese Eintragung in die Seekarte?;Kartentiefe 37 m;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-04;8;4;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Von dem ermittelten Ort wird das Verkehrstrennungsgebiet Jade Approach auf einem rechtweisenden Kurs von 232° angesteuert. Tragen Sie den Kurs in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-05;8;5;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Wie groß ist die Distanz zum Verkehrstrennungsgebiet?;3,8 sm;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-06;8;6;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Die Ablenkung beträgt +2°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 229°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-07;8;7;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Bei Erreichen des Verkehrstrennungsgebietes Jade Approach wird der Kurs geändert, um das Verkehrstrennungsgebiet rechtwinklig zu queren (Annahme: kein Versatz durch Strom und Wind). Wie lautet der rwK?;rwK = 242°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-08;8;8;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;Welcher Zeitraum wird für das Queren des Verkehrstrennungsgebietes Jade Approach voraussichtlich benötigt?;Zeitraum = 20 min.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-08-09;8;9;Ein Motorboot steht am 28.05.2012 um 10:00 Uhr in der Deutschen Bucht. Die Fahrt über Grund wird mit 9 kn angenommen.;"Nach einiger Zeit wird die Tonne ""TG16/Reede"" querab an Backbord passiert. Beschreiben Sie Farbe, Kennung und Toppzeichen des Schifffahrtszeichens.";Farbe: rot Kennung: rotes unterbrochenes Feuer in 3er Gruppen und einer Wiederkehr von 12 Sekunden Toppzeichen: keines;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-08/Navigationsaufgabe-08-node.html
NAV-09-01;9;1;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Wann erreicht das Boot voraussichtlich die Tonne ""6""?";Gegen 13:00 Uhr;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-02;9;2;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"An der Tonne ""6"" wird das Fahrwasser zügig und ohne die Berufsschifffahrt zu behindern nach Süden gequert. Gut südlich des grünen Tonnenstrichs geht es weiter elbabwärts auf der 5 m Linie, bis gegen 13:50 Uhr Tonne ""1"" an Steuerbord querab ist. Nun wird der rwK 206° auf den Leuchtturm ""Alte Weser"" abgesetzt. Die Ablenkung beträgt +4°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?";MgK = 202°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-03;9;3;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Beschreiben Sie das Feuer des Leuchtturms ""Alte Weser"" anhand der Eintragung in der Karte.";Festfeuer in Sektoren in den Farben weiß, rot und grün. Feuerhöhe 33 m, Tragweiten 23 sm bis 18 sm.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-04;9;4;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Was bedeutet der Zusatz ""Horn Mo(AL)60s""?";Nebelhorn in den Morsebuchstaben A und L alle 60 Sekunden.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-05;9;5;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";Um 14:20 Uhr zeigt das GPS folgende Position: 53° 56,0' N 008° 11,0' E. Tragen Sie diese in die Karte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-06;9;6;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Die GPS-Position soll anhand von Peilungen kontrolliert werden. Wie lauten von dieser GPS-Position aus die rw-Peilungen auf Leuchtturm ""Neuwerk"" und Leuchtturm ""Alte Weser""?";rwP = 096° Neuwerk rwP = 205° Alte Weser;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-07;9;7;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";Tragen Sie die rw-Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-08;9;8;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Wie groß ist die Distanz zum Leuchtturm ""Alte Weser""?";4,6 sm;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-09-09;9;9;"Ein Sportboot befährt am 23.06.2011 nördlich des roten Tonnenstrichs die Elbe seewärts. Gegen 12:00 Uhr wird die Tonne ""14"" nahebei passiert. Die Fahrt über Grund beträgt 5,8 kn.";"Gegen 15:20 Uhr sind Sie am Leuchtturm ""Alte Weser"". Wie groß ist die Geschwindigkeit der letzten Stunde?";4,6 kn;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-09/Navigationsaufgabe-09-node.html
NAV-10-01;10;1;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";Entnehmen Sie der Seekarte die geographische Position dieser Tonne.;53° 52,6' N 008° 06,4' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-02;10;2;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";"Beschreiben Sie das Feuer des Leuchtturms ""Alte Weser"".";Festfeuer mit weißen, roten und grünen Sektoren. Feuerhöhe 33 m, 23 sm bis 18 sm Nenntragweite.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-03;10;3;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";"Vom angegebenen Standort aus wird der Kurs auf die Tonne ""A2"" abgesetzt. Tragen Sie den Kurs in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-04;10;4;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";Wie lautet der rwK?;rwK = 301°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-05;10;5;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";Die Ablenkung beträgt-4°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 304°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-06;10;6;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";"Um 12:26 Uhr wird die Tonne ""A2"" querab passiert. Wie groß ist die Geschwindigkeit über Grund seit Passage der Tonne ""A10""?";12,0 kn;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-07;10;7;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";"Nach Passage der Tonne ""A2"" wird der Kurs nach Steuerbord geändert und auf die Tonne ""E3"" abgesetzt. Wenig später wird die Tonne ""ST"" passiert. Welche Bedeutung hat dieses Schifffahrtszeichen?";Kennzeichnung der Zufahrt zu Fahrwassern und der Mitte von Schifffahrtswegen;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-08;10;8;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";"Zur Standortbestimmung werden danach mit dem Peilaufsatz am Magnetkompass folgende Schifffahrtszeichen gepeilt: Tonne ""Nordergründe-N"" MgP = 110° Tonne ""ST"" MgP = 225° Die Ablenkung für den anliegenden Kurs beträgt +1°, die Mw ist der Seekarte zu entnehmen. Wie lauten die rw-Peilungen?";"rwP = 112° Tonne ""NGN"" rwP = 227° Tonne ""ST""";;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-10-09;10;9;"Ein am 14.07.2010 aus der ""Alten Weser"" auslaufendes Fahrzeug hat den Leuchtturm ""Alte Weser"" passiert und steht um 12:00 Uhr nahebei der Tonne ""A10"".";Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-10/Navigationsaufgabe-10-node.html
NAV-11-01;11;1;Ein Sportboot steht am 05.08.2013 um 09:00 Uhr in der Deutschen Bucht auf Position 53° 54,2' N und 007° 53,8' E und möchte in die Neue Weser einlaufen.;Tragen Sie die Position in die Karte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-11/Navigationsaufgabe-11-node.html
